"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"175",889.75,858.75,659.5,966,1605.75,1822,1770,1993.5,1298,671.25,813.75,659.75,479.75,707.5,1475.5,1659.75,1696.5,1815.25,1186.5,647,897.25,695,433,665.5,1367.5,1568.75,1556.5,1693.25,855.25,457.5,4
"176",839.5,748.5,552,770,1347.75,1516.5,1443,1618.5,956.25,501,796.75,636,443.75,647,1339.5,1548.5,1557,1678,1004.75,552.25,826.75,523.5,310.25,378.5,649.25,705.25,647.75,706.75,359.5,197.75,4
"177",809.25,677,510,667.75,1276,1620.5,1546.25,1721,735,362.75,756,576.25,366.5,532.5,1194.5,1433.25,1448,1527,602.5,320,806,512.5,294.5,308.25,587,664.25,685,667.5,156.5,85.5,4
"178",827.5,746,559,776.5,1711.75,2026.5,1985.75,2255.5,807.75,385.25,765.75,619,409.5,637.75,1724.5,2077,2070.5,2182.5,687.75,338.75,840,597,346.25,538,1523,1791.25,1786.25,1916.5,383.5,158.25,4
"179",808.25,686.25,543.75,686,1248.75,1468.5,1406.25,1593.5,849.25,452.25,740,555,371.25,519.25,1037.75,1202,1202.25,1273,631.75,364.5,768,456.75,253.25,252.75,320.75,334,277.25,278.5,80.25,39.75,4
"180",813.75,702.25,529.75,709.5,1492,1849.75,1745.25,1975.75,830.75,410.25,753,587.5,382.75,578.75,1299.5,1567,1616,1708.5,712.25,379,815.5,546.5,319.25,404.25,908.75,1071,1125.75,1145.75,292.75,146,4
"181",876.25,829.75,692,926.25,1686,1993.5,1934.75,2222.25,1329.25,692.5,831.25,717.5,538.25,818.5,1630.5,1883,1904,2034.5,1274.5,711.5,887.75,673.5,444.75,654.25,1390.5,1622,1636.5,1750.5,768.75,412.75,4
"182",845.75,736.75,567,746.25,1420.25,1660.25,1600.75,1817.75,883.75,470.25,782.5,607,426.25,595.5,1172.5,1362.5,1394.75,1468,777.75,465.75,789.25,471.5,267.25,255.5,359.75,355.5,337.75,342,98,55.75,4
"183",795.5,727.25,514.25,778.75,1697.75,2035.75,1951.5,2217.25,686.25,318.75,773,655.75,406,727.75,1950,2294.5,2284,2431,696,341,861.75,672.5,392.75,689,2067,2473.25,2458,2618.25,485,205,4
"184",839.25,761.5,566.5,819,1728.25,2076.5,1970.75,2243.25,813,394.75,806.25,680.25,427.75,754,2023.5,2417.75,2416.25,2593,781.25,365.5,900,697.75,417.75,701,2152.75,2573,2568.25,2725.25,569,240.25,4
"185",845.75,783.5,561.25,856.5,1868.5,2284.25,2173.25,2473.75,833.25,369.75,837.5,724,474.5,833.25,2204.5,2639,2677.5,2812.25,1003.75,494.25,921.5,732.25,430.25,760,2406.75,2921.75,2874.25,3113,654.5,270.75,4
"186",860.75,820.25,567.5,940.5,2204.5,2676,2537,2907,1010.5,415.75,839.75,750.75,473.5,890.75,2339.25,2733.75,2774.75,2940,1015,448.75,928.5,719.75,424.25,714.5,2169.5,2649.25,2628.75,2871,744.75,282.25,4
"187",889.25,828.5,623,985,1871.75,2163,2103.25,2366,1266.5,581.5,808.75,646,413.25,667,1875.25,2327.25,2273,2446.25,1055,476.75,857.5,583.25,347.25,472.25,953.25,1093.25,1061.25,1116,440,205.5,4
"188",902.5,864.75,713.75,1078.75,2156,2579,2493,2849.75,1677.25,779,863.75,757.25,591.75,915.75,1996.5,2379.5,2347.75,2594.75,1709.25,926.5,972,807,605,957.5,2388.5,2833.75,2841.5,3115.25,1765.75,873.5,4
"189",823.75,768.75,536,860,1906.5,2295.25,2187,2509.5,787,376.75,803.25,672.75,427.5,746.25,2062.75,2466.25,2459.5,2617.25,786.75,371.5,893.25,690,403.75,704.25,2124.5,2534.25,2520.25,2732.25,578.25,250.75,4
"190",884.5,822,634.5,968,1873,2239,2133.25,2470,1269.25,606,858,714.5,496.25,814.25,1875.5,2226.5,2225,2426.75,1228.75,614,975.75,787.5,516.5,878.5,2219.25,2662.5,2678.5,2957,1140,551.5,4
"191",826.25,770.5,529,853.5,1905.5,2262.5,2146,2449.5,780,353,800,690.5,422.5,783.75,2199,2609.25,2595.5,2737,752,326.5,914,746.75,441.25,824.5,2460.25,2953.25,2956,3165.25,713,313.25,4
"192",839.25,820.5,536,922.5,2145.5,2578.25,2446.5,2777.75,724.75,316.75,809.75,720,425.75,847.5,2447.75,2903.75,2904.5,3092,699,296.25,942.75,824.25,464.75,960.25,3122.5,3672.75,3693,3960.75,692,264.25,4
"193",840.25,777.75,565.5,859.25,1742.75,2055,1951.25,2207.75,909.25,450.25,808,672.75,469.75,768.5,1786.5,2075.5,2099.75,2248.75,944.5,494,908,692,420.5,728.25,1900.5,2190.5,2198,2371.25,662.5,309,4
"194",837.5,793.5,577.5,943.75,2001.5,2391.75,2272.75,2593.25,1032.75,482,797.25,690.25,440.5,820.25,2153.25,2459.5,2478.75,2640.25,986,463.5,911.25,769,459,933.75,2694.75,3190.75,3152.75,3393,934,394.75,4
"195",948.75,907.5,803.75,1087.25,1750.75,2028.5,1949,2243.5,1468.5,810.5,931,829,675,1001.75,1994.5,2268.25,2289.75,2473,1564.5,949.25,1053.75,910.75,723.75,1099.5,2336.5,2712.75,2725.25,2930.5,1607,915,4
"196",890,836.5,692.25,992.75,1719.25,2004,1909.5,2185,1252.25,661.25,876.5,758.75,556,869,1900.5,2196.25,2202.75,2361,1209.5,671.25,949.5,735.25,492.75,775.5,1821.25,2142.25,2037.75,2276.25,943.5,503.75,4
"197",931.75,901.5,716.75,1069.5,1853.75,2168,2058,2356.25,1247,627,922.25,824.25,610.5,960.75,1991.75,2311.5,2287.25,2474.25,1398,777.5,1052.5,897.25,640,1053,2340.25,2719.25,2702.25,2949,1367.25,711,4
"198",858.25,818.25,566.5,917.75,1878.75,2222,2111.25,2443,854.25,377.5,841.75,743.5,469.25,857.25,2102.75,2466,2451.5,2626.25,855,397.5,946.25,754,451.75,784.5,2248.75,2668,2683.5,2837.25,636.25,274,4
"199",877.25,808.75,592,883.25,1673.5,1973,1879.25,2144,1030.5,487.25,841.75,720.25,474.75,774.75,1560.75,1783.25,1773.75,1911.75,1002.5,516.75,936,682,419,595.5,1505,1710,1698.25,1795.25,538.75,254.25,4
"200",952.75,919.75,762.5,1072.75,1790.5,2044.75,1941.25,2241.25,1294.75,690,946,855.25,666,1003,1979.75,2249,2224.5,2429,1520,850,1050.25,880.5,624,955.25,2220,2547.25,2546.75,2748.75,1253.5,659,4
"201",837,746.75,585,817,1854.25,2310.25,2239.75,2580.25,1161.75,517.5,785.25,649.75,452.25,736.5,1696.25,2017.25,2059,2237.75,1208.25,575.25,883.25,672,434.5,688.75,1843,2210.75,2268.25,2438.75,878.5,366,5
"202",829,721.25,555.75,773.75,1742.5,2219.75,2161.25,2478.5,1036.5,467.5,767,605.25,403.5,652.25,1516.5,1793.25,1859,1977.5,948.25,453.25,867.25,616.5,376.25,575.5,1507.75,1861,1897,2050.75,649.75,274.75,5
"203",843.75,731.75,543.5,755.25,1733.25,2196,2138.25,2422.25,887.25,382.75,778.5,622.5,397.5,650.75,1582.75,1900.5,1985.75,2081,860,389,864.5,597.25,358.75,507.5,1334.75,1659.75,1638.75,1752,443,201.5,5
"204",852,774,624.25,866.5,1907.75,2377.5,2323,2636.75,1233.75,551.25,799.25,663.5,441.25,752.25,1736.75,2013.75,2058.75,2216.25,1148,524.75,893.5,675,439.75,684.75,1815.5,2239.25,2285.25,2404.25,887.25,378.5,5
"205",867.75,791.75,651,912,1895,2309.75,2258.5,2599.75,1386.5,650.5,824,691.75,505,800.75,1623.75,1869.5,1899.25,2039,1401.5,728,899.25,691,450.25,731,1809.75,2162.25,2170,2323,982.5,425.25,5
"206",862.25,767.25,624.25,868,1842.25,2258.75,2200.75,2517.5,1297.5,589.5,799,647,448,705.5,1469,1705.25,1733.5,1870,1201.5,594.25,898,666.75,439.5,670,1642,1918.25,1980.75,2098.75,867.25,371.75,5
"207",851.5,767,626.25,858.25,1814.5,2226.75,2159.5,2465.5,1303.25,605.25,794,651.25,449.25,737.75,1565.75,1788,1842,1948.75,1205,602.75,885.75,648.75,424.75,637.5,1545.75,1818.75,1808.5,1975,848.25,365.5,5
"208",857,763.75,617.75,849,1778.5,2198.75,2112.25,2432.25,1255.75,584.5,790.25,630,437.5,678.75,1403.5,1645,1648.25,1764.75,1103.25,551.25,886.25,652.75,420,636.5,1589.5,1868.25,1867.25,2057.75,834,356.5,5
"209",850.75,758.5,597.75,844.5,1868,2328.25,2260.75,2608,1232.5,550.5,782.25,622,413.5,654.5,1469.25,1695,1750.5,1869,1082.75,523,874.25,632.75,398.5,611.25,1462,1820.5,1808.5,1930.5,739,309.5,5
"210",829.5,722.75,552.75,768.25,1749.5,2199.5,2121.25,2414.75,1056,462,770.5,605.25,394.5,632.25,1507.5,1793.5,1815.5,1974.5,988,445.25,871,616,382.75,569.5,1470,1742.5,1826.25,1898,631.25,247.75,5
"211",854,757.25,611.75,825.75,1796.5,2213,2142,2467.25,1206,556.75,786.25,621.5,412.75,661.75,1525,1840.5,1869.25,1980.25,1050.25,493.25,859,610.5,379,542.25,1385.5,1615,1639.25,1742.5,641.25,258.25,5
"212",865.5,782,643.5,883.25,1869.75,2334.25,2264.5,2624,1417.75,632.5,797.25,649,447,724.25,1603.75,1885.25,1922.5,2080.75,1279.5,624.25,905.5,684,450.75,703.5,1817,2152.5,2227.25,2366.75,1044.25,426,5
